ID,Campaign ID,Row_Counter,Name,Target,Status,Developer/Reseacher,Format,Derivation,Discovery platform,Country,Anticipated Next Steps Timing,Descriptions,References,last updated,Name of person who updated the record
46,36,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,"Alliance led by Proteona, including the University Clinic, Heidelberg, Tübingen University Hospital, the German Cancer Research Center (DKFZ), the NMI Natural and Medical Sciences Institute, NUS Enterprise, and 10x Genomics.",mAb,Human,single B cell,Germany/USA,,"Proteona Pte. Ltd. and partners have announced the launch of an international alliance to develop broadly neutralizing antibodies against coronaviruses including SARS-CoV-2, the virus causing the COVID-19 pandemic.","1, https://www.selectscience.net/industry-news/proteona-to-develop-sars-cov-2-neutralizing-antibody-against-covid-19/?artID=51028
  2, https://www.selectscience.net/industry-news/covid-19-155-drugs-and-79-vaccines-under-development-worldwide/?artid=51305
  3, https://www.selectscience.net/industry-news/redhill-biopharma-announces-agreement-with-niaid-to-evaluate-rhb-107-against-covid-19/?artid=51308",05/18/2020,L.Y
48,38,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,Distributed Bio,mAb,Human,,USA,,"Distributed Bio has identified thousands of anti-SARS-CoV-19 antibodies, and their scientists are currently working on engineering, selection, screening and production of candidates.",https://www.distributedbio.com/covid19,05/18/2020,L.Y
49,39,1,Anti-SARS-CoV-2 program,SARS-CoV-2,Preclinical,Amgen and Adaptive Biotechnologies,mAb,Human,single B cell cloning,USA,,Amgen and Adaptive Biotechnologies announced a collaboration aimed at helping address the COVID-19 pandemic. The companies will combine expertise to discover and develop fully human neutralizing antibodies targeting SARS-CoV-2 to potentially prevent or treat COVID-19. The mutually exclusive collaboration brings together Adaptive's proprietary immune medicine platform for the identification of virus-neutralizing antibodies with Amgen's expertise in immunology and novel antibody therapy development.,https://wwwext.amgen.com/media/news-releases/2020/04/amgen-and-adaptive-biotechnologies-announce-strategic-partnership-to-develop-a-therapeutic-to-prevent-or-treat-covid-19/,05/18/2020,L.Y
50,40,1,Anti-SARS-CoV-2 program,SARS-CoV-2,Preclinical,International group/Antibody Therapy Against Corona Virus,,,,Sweden/Belgium/Italy/Switzerland,,The international research association ATAC (Antibody Therapy Against Corona Virus) is developing antibody-based therapies against the lung disease COVID-19 caused by the SARS-CoV2 virus.,https://magazin.tu-braunschweig.de/pi-post/antikoerper-gegen-viren/,05/18/2020,L.Y
52,42,1,Anti-SARS-CoV-2 DARPin molecules,S protein,Preclinical,Molecular Partners,DARPin,,phage display,Switzerland,Q3 2020,"Research performed by Molecular Partners in collaboration with virologists at the Spiez Laboratory, a division of the Swiss Federal Office for Civil Protection, has characterized hundreds of monospecific and multispecific DARPin® proteins with strong binding and neutralizing qualities against multiple epitopes on the SARS-CoV-2 spike protein that are crucial for infection. The construction of multispecific candidates from monospecific proteins is the foundation of Molecular Partners’ drug discovery engine, and has yielded multiple clinical candidates in other indications.
  Molecular Partners is proceeding with expedited preclinical testing to select a lead candidate. The company has verified available manufacturing capacity and is targeting readiness of Good Manufacturing Practice-compliant drug product in Q3 2020. Trispecific; targets 3 parts of the spike protein of virus. Preliminary data indicate that multispecific DARPin® molecules show synergistic antiviral activity, exceeding the activity of their constituent parts. A multispecific DARPin® lead candidate will be chosen based on its capability to perform three distinct mechanisms of action (illustrative graphic): blocking binding of the human ACE2 receptor, the virus’s primary docking mechanism to host cells; blocking binding of a specific protease essential for spike protein activation; and “handcuffing” the spike protein, preventing the conformational change it undergoes prior to injection of viral RNA into the human cell. The final candidate is also expected to have its half-life enhanced with a DARPin® domain that binds to human serum albumin (HSA) to support long-acting activity.",https://www.molecularpartners.com/molecular-partners-initiates-anti-covid-19-therapeutic-program-leveraging-multi-target-binding-of-darpin-proteins-to-neutralize-sars-cov-2-virus/,05/18/2020,X.X
53,43,1,Anti-SARS-CoV-2 mAb by non-viral gene delivery platform,S protein,Preclinical,"Vir Biotechnology, Inc/ Generation Bio",mAb,,,,Summer 2020,"April 2,2020 Generation Bio and Vir Biotechnology to Collaborate on Research to Leverage Scalable Non-Viral Gene Therapy Platform for Durable Production of Monoclonal Antibodies Against Coronavirus.
  Generation Bio and Vir Biotechnology announced a collaborative research agreement to explore the potential for Generation Bio’s non-viral gene therapy platform to extend the impact and reach of Vir’s current or future human monoclonal antibodies (mAb) against SARS-CoV-2, the virus responsible for COVID-19. Generation Bio’s technology has the potential to deliver genetic information directly to cells without the use of adeno-associated viruses (AAV), in effect instructing the patient’s body to produce the antibody itself.
  Generation Bio's non-viral platform incorporates a proprietary high-capacity DNA construct called closed-ended DNA, or ceDNA; a novel cell-targeted lipid nanoparticle delivery system, or ctLNP; and an established, scalable capsid-free manufacturing process. The company is designing therapies to provide targeted delivery of genetic payloads that include large and multiple genes across a broad array of tissues, and to be redosable for individualized and extended treatment throughout a patient’s life.",https://investors.vir.bio/news-releases/news-release-details/generation-bio-and-vir-biotechnology-collaborate-research,5/18/2020,X.X
54,44,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,Medicago/Laval University,,,,Canada,,"Medicago is using its technology platform to develop antibodies against SARS-CoV-2 in collaboration with the Laval University’s Infectious Disease Research Centre headed by Dr. Gary Kobinger, who helped develop a vaccine and treatment for Ebola. These SARS-CoV-2 antibodies could potentially be used to treat people infected by the virus. This research is being funded, in part, by the Canadian Institutes for Health Research (CIHR).",https://www.businesswire.com/news/home/20200312005345/en/Medicago-Announces-Production-Viable-Vaccine-Candidate-COVID-19,5/18/2020,X.X
55,45,1,Anti-SARS-CoV-2 VNAR antibodies,S protein,Preclinical,Ossianix,VNAR antibodies,,,UK,,"The screening campaign against the COVID-19 spike protein at Ossianix is advancing rapidly and we hope to announce the results to the scientific community over the coming weeks.
  
  Ossianix wishes to partner after this screening stage with interested parties in government, academia or biotech and pharma companies to develop the virus blocking VNAR antibodies and move the project to a therapeutic reality in the shortest possible time. A novel approach being pioneered at Ossianix uses its patented VNAR phage display libraries to identify single domain antibodies with high affinity and specificity against the COVID-19 spike protein. The spike protein is the site of attachment of the virus with its cellular receptor ACE-2 and blockade at that site will neutralize its activity.
  
  Single domain VNAR antibodies have large CDR3 binding domains that preferentially bind cavities and buried epitopes in proteins. These are often the sites of protein-protein interactions. It is thus highly likely that screening of the multi-isoform and[HKC1] highly complex VNAR libraries will identify hits that will be different from those isolated from human B cells. Once identified, VNAR single domain antibodies can then be developed to block these sites. Certain VNAR antibodies that bind to the transferrin receptor have also shown the capability to specifically target the lung in rodents and non-human primates. These VNARs can be fused to antibodies or other therapeutics creating bispecific biologics for targeted delivery.",https://www.ossianix.co.uk/,5/18/2020,X.X
56,46,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,AvantGen,mAb,,yeast display,USA,,"April 21, 2020: AvantGen, Inc. announced it has identified and tested fully human synthetic antibodies (“mAbs”) against Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2, the “novel Coronavirus”) that show promise for development as diagnostics for SARS-CoV-2 infection and therapeutics for Coronavirus Disease 2019 (COVID-19). Screened yeast display human synthetic libraries against the virus for therapeutic and diagnostic development. Within 3-4 weeks, we were able to isolate hundreds of unique mAbs directed against the spike envelope protein of the SARS-CoV-2 virus and identified a subset that are able to block the spike protein binding to the receptor on human cells, Angiotensin Converting Enzyme -2 (ACE2)”.
  Testing conducted by the Company in close collaboration with leading academic groups demonstrate that a panel of unique mAbs can effectively neutralize virus-induced cell-killing, also known as cytopathic effect (CPE). Among these neutralizing unique mAbs, some can block the spike protein from interacting with ACE2, while others do not block the interaction. The finding that two distinct groups of unique mAbs, with different binding sites on the spike protein can neutralize the virus paves a way for the development of a cocktail of mAbs comprising blocking and non-blocking neutralizing mAbs for potentially a more effective therapy.",https://www.avantgen.com/news/aventgen-develops-novel-antibodies-to-covid-19/,5/18/2020,X.X
57,47,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,Innovent Biologics,mAb,Human,,China,,"April 3, 2020: Innovent Biologics is currently doing studies and research on antibodies taken from people who have successfully recovered from the COVID-19 respiratory disease. Even if it can successfully identify the antibodies, Innovent Biologics disclaimed that it will likely take about a year to develop the drug and prepare it for its first human clinical trials.",https://www.btimesonline.com/articles/129691/20200403/chinese-drug-maker-innovent-biologics-developing-antibody-treatment-for-covid-19.htm,5/18/2020,X.X
58,48,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,"Ablexis, LLC, AlivaMab Discovery Services, LLC and Berkeley Lights, Inc",mAb,,,USA,,"April 22, 2020: Ablexis, LLC, AlivaMab Discovery Services, LLC and Berkeley Lights, Inc. announced the rapid generation and recovery of sequences encoding a rich panel of human antibodies against the S1 spike protein of the SARS-CoV-2 virus. Based on multiplex screening assays performed on the Beacon® platform, these SARS-CoV-2 S1 antibodies may be binned into subsets based on their binding to the receptor binding domain (S1B) of SARS-CoV2, blocking of S1B binding to the ACE2 receptor, and cross-reactivity with the S1 spike protein of the SARS-CoV virus. The observed diversity includes activities consistent with different mechanisms of action hypothesized for highly efficacious antibody therapy and prophylaxis of infection by SARS-CoV-2. The companies will jointly make these antibodies available to an organization with the capabilities and commitment for their further research and development.",https://www.prnewswire.com/news-releases/ablexis-alivamab-discovery-services-and-berkeley-lights-collaborate-to-identify-a-diverse-panel-of-anti-sars-cov-2-human-antibodies-301045039.html,5/18/2020,X.X
59,49,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,Ligand,mAb,,,USA,,"April 6, 2020: Ligand’s partners are actively progressing two OmniAb antibody discovery programs for the potential treatment of COVID-19. One multinational big pharma partner has initiated a program using OmniChicken® and another partner is focused on antibodies derived from OmniRat®. Names of partners were not divulged.",https://www.businesswire.com/news/home/20200406005284/en/Ligand-Corporate-Update-Announces-6th-Date-Quarter,5/18/2020,X.X
60,50,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,Institut Pasteur,mAb,,,France,,2019-NCOV THERAMAB project aim: to elucidate the mechanisms behind the antibody responses to SARS-CoV-2 and investigate the role they may play in eliminating the virus in infected individuals. The idea is to improve our understanding of the antibody responses of anti-SARS-CoV-2 memory B lymphocytes at molecular and functional level (B lymphocytes are the immune cells that produce antibodies). The memory B cells that develop after an initial infection have a long life span and are capable of intervening rapidly and effectively in the event of reinfection. The project aims to harness the discoveries made to develop a treatment based on the use of human neutralizing antibodies (immunotherapy).,https://www.pasteur.fr/en/press-area/coronavirus-mobilisation/coronavirus-covid-19-research-projects#p17,5/18/2020,X.X
61,51,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,"Fusion Antibodies, Queen's Univeristy",mAb,,,,,"April 29, 2020: Northern Ireland biotech firm is to raise £3m to help it expand its work to include Covid-19 treatment. Fusion Antibodies announced it's now part of an antibody development alliance, set up to help in the global fight against the coronavirus pandemic. The company specialises in pre-clinical antibody discovery, engineering and supply.
  
  The company announced earlier this month that it would be working with Queen's University as part of the Coronavirus Antibody Development Alliance. It's now working with Professor Ultan Power, of the Wellcome-Wolfson Institute of Experimental Medicine; Professor Chris Scott, in The Patrick G Johnston Centre for Cancer Research; and Dr Fuquan Lui, in the School of Biological Sciences, to prepare antibodies that will potentially neutralise the virus.",https://www.belfasttelegraph.co.uk/business/northern-ireland/belfast-biotech-firm-to-raise-3m-to-help-research-antibodies-in-fight-against-coronavirus-39165921.html,5/18/2020,X.X
62,52,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,BioDuro LLC,mAb,,,,,"March 26, 2020 — BioDuro LLC, a leading global life sciences contract research and development organization announced today that it has initiated a COVID-19 nanobody therapeutic program, leveraging the company’s biologics discovery platform and a specialized COVID-19 dedicated team. The cornerstone of the effort includes screening more than 10 billion human synthetic antibodies generated using Artificial Intelligence (AI) computing and high-speed DNA mutagenesis technology.
  
  BioDuro’s COVID-19 program relies on synthetic antibody technology, targeting both ACE2 receptor on the human cell and spike protein on the virus. The goal is to block the viral entry and fusion into the cell. To do so, BioDuro’s COVID-19 team built a high diversity phage displayed synthetic antibody library, which comprises ~10 billion human antibodies. Each antibody in the library is made different using high speed DNA mutagenesis, a process which BioDuro scientists optimized using advanced AI computing.
  
  The next step for the BioDuro team will be to screen each of the billions of antibodies—a process that will take a few months—to determine which antibody disrupts the virus most optimally. The final product aims to be a nanobody, which is an antibody, but contains only a single, very small unit needed for recognition and disruption of the COVID-19 targets.",https://bioduro.com/article/bioduro-announces-covid19-nanobody/,5/18/2020,X.X
63,53,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,Hemogenyx Pharmaceuticals plc,mAb,,,,,"Hemogenyx Pharmaceuticals plc (LSE: HEMO), the biopharmaceutical group developing new therapies and treatments for deadly blood diseases, is deploying its groundbreaking research and technologies to develop treatments for COVID-19.
  
  Using its humanized mice, the Advanced peripheral blood Hematopoietic Chimera (“ApbHC”), which were developed to model blood and autoimmune diseases and to test treatments, Hemogenyx will seek to discover human neutralizing antibodies – antibodies that are typically developed by the human immune system to neutralize invading viral pathogens – that could be used to fight SARS-CoV-2 (the virus that causes COVID-19) infections.
  
  Prior to the appearance of COVID-19, Hemogenyx had been working independently and with a number of pharmaceutical company partners to utilize the exceptional features of ApbHC to identify and isolate human neutralizing antibodies for use as antiviral therapies.",https://hemogenyx.com/investors/investors/announcements/announcement/2020/covid-19-project-initiated/,5/18/2020,X.X
64,54,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,"ThermoGenesis Holdings, Inc., ImmuneCyte",mAb,,,,,"ThermoGenesis Holdings, Inc. 's joint venture partner, ImmuneCyte, has acquired from its collaborators worldwide intellectual property of four high-affinity monoclonal antibody drug candidates against COVID-19 virus. These high-affinity neutralizing monoclonal antibodies were obtained from the screening of enriched B cell libraries from individuals who have recently recovered from COVID-19 (i.e. from convalescent whole blood). The technologies were originally developed by a research team affiliated with East China Normal University, one of the most prestigious universities in China. The acquisition includes an undisclosed upfront cash payment and low double-digit future revenue sharing for the monoclonal antibody drug candidates under development. ThermoGenesis currently holds approximately 19% of the equity of ImmuneCyte. Derived from human B cells",https://www.biospace.com/article/releases/thermogenesis-announces-its-immunecyte-joint-venture-acquires-key-technologies-to-develop-fully-human-polyclonal-and-monoclonal-antibody-therapeutics-for-covid-19/,5/18/2020,X.X
65,55,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,GenScript ProBio,mAb,,,,,"As early as January 23 before the rapid outbreak, Discovery Department Head of GenScript ProBio, initiated the collaboration for an emergency screening project against 2019 nCoV together with Chongqing Academy of Animal Sciences and Chongqing CAMAB Biotech Ltd. The project team discussed the protocol details from antigen immunization to anti-2019 nCoV antibody characterization. For such emergency antibody drug project, the core lies in rapid antibody generation. This involves seamless integration of screening, sequencing and vector synthesis and further development to fight the 2019 nCoV outbreak. We finally worked out the optimal solution of rapid immunization coupled with GenScript ProBio Beacon single-cell platform screening and had multiple alternatives.
  In less than 24 hours, using the Beacon single-cell platform, GenScript ProBio completed immunized mice processing, immune cell isolation and enrichment, single cell sorting, on-chip binding and blocking screening, which usually takes three months using the traditional hybridoma antibody screening. 
  After successful antibody sequence screening, the team will work on expression of those antibody genes, and will perform further virus blocking and neutralization tests for the expressed antibodies. These Emergency antibodies after validation are expected to be put into mass production in GenScript ProBio to fight 2019 nCoV. Derived from transgenic mouse",https://finance.yahoo.com/news/genscript-probio-screens-anti-2019-144600434.html,5/18/2020,X.X
66,56,1,XAV-19,SARS-CoV-2,Preclinical,"Xenothera, LFB",,,,,,"Specializing in biotechnology, the Nantes start-up Xenothera is working on an antibody-based treatment. These so-called ""glyco-humanized"" antibodies are produced by animals, but resemble those of humans. At the head of the company, Odile Duvaux, claims to have already declined this technology in the treatment of cancer with a conclusive clinical trial around the rejection of transplants.
  
  On April 15, 2020, Xenothera announces its partnership with the LFB laboratory, which develops, manufactures and markets blood-derived drugs and therapeutic proteins for patients with serious and rare pathologies. 
  
  Code name: XAV-19
  XAV-19 is an intravenous therapy for patients with Covid-19. Administered to hospitalized patients, the goal of treatment is to prevent worsening and the transition to acute respiratory failure, which requires intensive care.
  
  Scientifically, polyclonal antibodies of animal origin are transformed, and are ""glyco-humanized"". This technique makes them similar to human antibodies by eliminating allergic risks and avoiding the risk of ADE (antibody-dependent increase) which, instead of treating the infection, worsens it quickly.
  
  More simply, this antibody-based treatment would boost the patient's immune defenses, prevent the virus from entering and multiplying in cells and reduce the inflammatory phenomenon.",https://franchementbien.fr/covid-19-a-nantes-une-biotech-developpe-le-xav-19-un-traitement-a-base-danticorps/,5/18/2020,X.X
67,57,1,,SARS-CoV-2,Preclinical,SAB Biotherapeutics,,,,,Summer 2020,"April 16, 2020: SAB is rapidly advancing the development of an antibody therapeutic to treat COVID-19. We’re on track to have a candidate ready as early as summer 2020. SAB’s cows are immunized every 28 days, and plasma can be collected from each animal three times a month for a monthly total of about 35-45 L DiversitAb platform was used to generate SAB-185, a transgenic cow-derived human polyclonal antibody therapy that is more consistent and easier to scale up than convalescent plasma from recovered COVID-19 patients.",https://sabbiotherapeutics.com/2020/04/24/behind-sabs-rapid-response-to-covid-19/,5/18/2020,X.X
68,58,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,Scripps/IAVI,mAb,,,USA,,"In under 7 weeks, we enrolled a cohort of SARS-CoV-2-recovered participants, developed neutralization assays to interrogate serum and monoclonal antibody responses, adapted our high throughput antibody isolation, production and characterization pipeline to rapidly screen over 1000 antigen-specific antibodies, and established an animal model to test protection. We report multiple highly potent neutralizing antibodies (nAbs) and show that passive transfer of a nAb provides protection against high-dose SARS-CoV-2 challenge in Syrian hamsters.",https://www.biorxiv.org/content/10.1101/2020.05.11.088674v2,5/18/2020,X.X
69,59,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,Adimab/UT Austin,mAb,,,USA,,"we mined the memory B cell repertoire of a convalescent SARS donor and identified 200 SARS-CoV-2 binding antibodies that target multiple conserved sites on the spike (S) protein. A large proportion of the antibodies display high levels of somatic hypermutation and cross-react with circulating HCoVs, suggesting recall of pre-existing memory B cells (MBCs) elicited by prior HCoV infections. Several antibodies potently cross-neutralize SARS-CoV, SARS-CoV-2, and the bat SARS-like virus WIV1 by blocking receptor attachment and inducing S1 shedding.",https://www.biorxiv.org/content/10.1101/2020.05.15.096511v1,5/18/2020,X.X
70,60,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,University of Amsterdam,mAb,,,the Netherlands,,,https://www.biorxiv.org/content/10.1101/2020.05.12.088716v1,5/18/2020,X.X
71,61,1,IgG1 ab1,S protein,Preclinical,University of Pittsburgh,mAb,,,USA,,,https://www.biorxiv.org/content/10.1101/2020.05.13.093088v1,5/18/2020,X.X
72,62,1,"CMAB020, STI-4920, ACE-MAB",SARS-CoV-2,Preclinical,Mabpharm/Sorrento Therapeutics,,,,,ASAP after regulatory approvals,"March 24, 2020. Sorrento Therapeutics, Inc. announced it has entered into an exclusive license agreement with China-based antibody biopharmaceutical company, Mabpharm Limited, for the clinical development and commercialization of the ACE-MAB fusion protein (Sorrento’s product code name STI-4920 and Mabpharm’s product code name CMAB020) for the potential treatment of COVID-19, the disease caused by the SARS-CoV-2 virus. Mabpharm has generated a fusion protein (CMAB020) that binds to the spike protein of the SARS-CoV-2 virus.
  
  March 31, 2020 Sorrento Therapeutics, Inc.announced it has entered into a research testing agreement with The University of Texas Medical Branch at Galveston for the preclinical testing of Sorrento's COVID-19 therapeutic product candidates. Sorrento is currently conducting preclinical development of multiple therapeutic candidates to treat COVID-19 across its proprietary platforms, including natural killer (NK) cell therapies, neutralizing antibodies (NAbs) and soluble recombinant fusion protein traps (COVIDTRAPTM) to potentially inhibit the binding of SARS-CoV-2’s spike protein with host ACE2 receptors, thereby potentially preventing viral cell entry. 
  ACE-MABTM is a proprietary bi-specific fusion protein that binds to the spike protein of coronaviruses, including SARS-CoV-2 and SARS-CoV, which is expected to block SARS-CoV-2 from binding and infecting respiratory epithelial cells or ACE2-expressing cells to interrupt the viral life cycle -- ACE-MAB is in the cGMP cell line development stage by our strategic partner, Mabpharm Limited, and could be ready for large-scale production in Mabpharm’s 30,000 m2 cGMP facilities in China for human clinical trials and commercialization upon receipt of requisite regulatory approvals -- Sorrento has been granted an exclusive license to develop and commercialize the ACE-MAB product candidate in the North American and European markets. Designed as a bi-specific fusion protein, ACE-MAB has two functional arms. One arm (Ab) is a fully human antibody that targets the spike protein of SARS-CoV-2 with high affinity. The other arm (TR) is a truncated ACE2 protein that binds to a different epitope of the spike protein. The ACE-MAB fusion protein could also block the receptor binding domain (RBD) with CD147 to mitigate lung inflammation and cytokine storm. The dual-arm design could be a unique advancement, potentially providing binding to the SARS-CoV-2 virus that is sufficient to prevent the virus from invading normal human cells. ACE-MAB retains the ACE2 enzymatic function, which could provide benefits such as reduced vasoconstriction and increased blood flow to infected lung tissue. The ACE2 arm competes with RBD binding to respiratory epithelial or other cells. It should preserve the ACE2 enzymatic activity, which is important in maintaining normal blood pressure and healthy blood flow into patients with infected lung tissue, which would include patients with advanced COVID-19 disease.","http://investors.sorrentotherapeutics.com/news-releases/news-release-details/sorrento-collaborates-mabpharm-development-and-commercialization
  http://investors.sorrentotherapeutics.com/news-releases/news-release-details/sorrento-launches-novel-i-celltm-covid-19-cellular-vaccine
  http://investors.sorrentotherapeutics.com/news-releases/news-release-details/sorrento-and-university-texas-medical-branch-galveston-enter
  http://investors.sorrentotherapeutics.com/news-releases/news-release-details/sorrento-provide-manufacturing-support-celularity-cynk-001-nk",5/18/2020,X.X
73,63,1,OstriGen SARS-CoV-2 mAbs,S protein,Preclinical,Ostrich Pharma USA (http://www.ostrigen.com/),,,,,,"MARCH 31, 2020: Ostrich Pharma USA has announced the successful development of ostrich antibodies to the SARS-CoV-2 virus, the expanding use of those antibodies in Japan, and plans for producing and deploying the antibodies in the U.S. Dr. Yasuhiro Tsukamoto, Dean of the Graduate School of Life and Environmental Sciences at Kyoto Prefectural University and Co-CEO of Ostrich Pharma USA, has injected a genetically engineered pseudovirus into ostriches, and antibodies were purified from their eggs. These antibodies demonstrate a strong ability to neutralize SARS-CoV-2 viruses. Dr. Tsukamoto said: ""We have produced ostrich antibodies to many viruses, bacteria, and allergens, but we were pleased to see how quickly the ostriches developed immunity and placed the anti-SARS-CoV-2 antibodies in their eggs. We were even more pleased to see how capable the antibodies were in blocking the virus that causes COVID-19.""
  Ten ostriches have been vaccinated, and the antibodies from their eggs have already been used in masks, nasal drops, and candies in Japan. Masks with antibody-impregnated liners have been proven to block 99.9% of influenza viruses. More than 70 medical institutions in Japan have purchased large numbers of ostrich antibody masks to prevent infections among healthcare workers, and the order rate is increasing. The Rinku Medical Clinic, a cancer hospital in Osaka, Japan, has begun a clinical trial on the use of ostrich antibody nasal drops to prevent hospital-acquired coronavirus infection. If a patient infected with SARS-CoV-2 is present, a doctor will spray the antibody solution into the nasal cavity of hospitalized patients, close contacts, and healthcare professionals. According to Dr. Takahiro Ishikawa, President of the Rinku Medical Clinic, ""In the absence of vaccines and therapeutics, proving that the ostrich antibody nasal drops have a preventive effect could be a real breakthrough.""
  Dr. Tsukamoto’s research also encompasses the study of the ostrich antibodies as a therapeutic. He and his research team have published results showing one hundred per cent efficacy of H5N1 (avian influenza) antibodies injected into chickens infected with the avian influenza virus. To reduce potential rejection after inoculation into humans, Dr. Tsukamoto is developing an antibody drug that uses various enzymes to cut ostrich antibody molecules into smaller molecules containing antigen-binding regions.
  According to Ostrich Pharma USA Co-CEO Stuart Greenberg, ""We recognize the enormous need for multiple approaches to the COVID-19 pandemic in the US. In order to be a participant in this war, we will need to immunize large numbers of ostriches, purify large amounts of the antibodies from the ostrich eggs, and get manufacturing capacity to make products, like masks. We will need to develop an approach to marketing, including defining the regulatory path, when appropriate. We expect to team with some key partners to accomplish this.""
  Ostrich Pharma USA, under the trade name “OstriGen,” is exploiting the powerful immune system of the ostrich to develop a revolutionary class of treatments and prophylaxes that are highly effective and economical.",https://finance.yahoo.com/news/ostrich-pharma-usa-produces-antibodies-203900885.html,5/18/2020,X.X
74,64,1,TriKE anti-SARS-CoV-2,S protein,Preclinical,"GT Biopharma, Inc.",,,,,,"Under the terms of the collaboration agreement, the companies will focus on preparing sufficient quantities of GT Biopharma's coronavirus TriKE drug product for preclinical evaluation using Cytovance's E. coli-based Keystone Expression System™ and subsequently, will scale-up production using Cytovance's GMP microbial manufacturing platform for evaluation of TriKE in humans to treat coronavirus infection. March 10, 2020 / GT Biopharma, Inc., a company focused on developing innovative therapeutic treatments based on its proprietary NK cell engager (tri-specific killer engagers, TriKE™) platform announced today that it had entered into a collaboration agreement with Cytovance® Biologics, a USA-based contract development and manufacturing organization (CDMO) and a subsidiary of the Shenzhen Hepalink Pharmaceutical Group Co., Ltd. to provide development services for a TriKE™ therapeutic for the treatment of coronavirus infection.",https://www.gtbiopharma.com/news-media/press-releases/detail/182/gt-biopharma-and-cytovance-biologics-announce-collaboration,5/18/2020,X.X
75,65,1,Convalescent plasma,SARS-CoV-2,Phase 3,Centre Hospitalier Sainte Anne,polyconal Ab,Human,,France,,,1. https://www.clinicaltrials.gov/ct2/show/NCT04350580?term=Centre+Hospitalier+St.+Anne+%28Paris%29&draw=3,5/18/2020,B.L
76,66,1,Convalescent plasma,SARS-CoV-2,Phase 2/3,Peking Union Medical College Hospital,polyconal Ab,Human,,China,,,1. https://www.clinicaltrials.gov/ct2/show/NCT04261426?term=gamma+globulin&cond=COVID-19&draw=2&rank=1,5/18/2020,B.L
77,67,1,Convalescent plasma,SARS-CoV-2,Phase 2/3,Erasmus Medical Center,polyconal Ab,Human,,Netherlands,,,1. https://www.clinicaltrials.gov/ct2/show/NCT04342182?term=convalescent+plasma&cond=COVID-19&draw=2,5/18/2020,B.L
78,68,1,Convalescent plasma,SARS-CoV-2,Phase 2/3,Universidad del Rosario,polyconal Ab,Human,,Colombia,,,1. https://www.clinicaltrials.gov/ct2/show/NCT04332835?term=convalescent+plasma&cond=COVID-19&draw=2,5/18/2020,B.L
79,69,1,Convalescent plasma,SARS-CoV-2,Phase 2,Puerta de Hierro University Hospital,polyconal Ab,Human,,Spain,,,1. https://www.clinicaltrials.gov/ct2/show/record/NCT04345523?term=convalescent+plasma&cond=COVID-19&draw=2,5/18/2020,B.L
80,70,1,Convalescent plasma,SARS-CoV-2,Phase 2,Assistance Publique – Hôpitaux de Paris,polyconal Ab,Human,,France,,,1. https://www.clinicaltrials.gov/ct2/show/NCT04345991?term=convalescent+plasma&cond=COVID-19&draw=2,5/18/2020,B.L
81,71,1,Convalescent plasma,SARS-CoV-2,,China-Japan Friendship Hospital,polyconal Ab,Human,,China,,,1.http://www.chictr.org.cn/showprojen.aspx?proj=50537,5/18/2020,B.L
82,72,1,Convalescent plasma,SARS-CoV-2,,Renmin Hospital of Wuhan University,polyconal Ab,Human,,China,,,1. http://www.chictr.org.cn/showprojen.aspx?proj=50696,5/18/2020,B.L
83,73,1,Convalescent plasma,SARS-CoV-2,,The First Affiliated Hospital of Nanchang University,polyconal Ab,Human,,China,,,1. http://www.chictr.org.cn/showprojen.aspx?proj=50059,5/18/2020,B.L
84,74,1,Convalescent plasma,SARS-CoV-2,,Wuhan Jinyintan Hospital,polyconal Ab,Human,,China,,,1. http://www.chictr.org.cn/showprojen.aspx?proj=49777,5/18/2020,B.L
85,75,1,"Anti-SARS-CoV-2 polyclonal hyperimmune globulin (H-IG), TAK-888",SARS-CoV-2,,CoVIg-19 Plasma Alliance amaong Biotest/ BPL/ CSL Behring/LFB/Octapharma/Takeda/ADMA Biologics/ BioPharma Plasma/ GC Pharma/ Sanquin.,polyconal Ab,Human,,USA,,,1. https://www.covig-19plasmaalliance.org/en-US#recruitment 2. https://www.takeda.com/newsroom/featured-topics/rajeev-venkayya-president-global-vaccine-business-unit-on-the-latest-on-the-coronavirus-and-takeda/,5/17/2020,B.L
